experience,education_level,job_role,location,industry,salary
25,Masters,DevOps Engineer,Pune,IT,1677000.0
0,Masters,Analyst,Pune,Retail,521000.0
9,Masters,Business Analyst,Delhi,IT,1038000.0
2,Bachelors,Software Engineer,Delhi,Healthcare,739000.0
1,PhD,Analyst,Mumbai,Education,660000.0
18,Bachelors,Software Engineer,Pune,Education,901000.0
16,Masters,Analyst,Hyderabad,Finance,1124000.0
17,Masters,Software Engineer,Kolkata,IT,1240000.0
7,Bachelors,Software Engineer,Chennai,Manufacturing,712000.0
22,Bachelors,Analyst,Hyderabad,Manufacturing,992000.0
17,Bachelors,Analyst,Pune,Finance,854000.0
1,Bachelors,Software Engineer,Delhi,Manufacturing,603000.0
0,Bachelors,Analyst,Delhi,Finance,604000.0
18,Masters,Manager,Bangalore,Education,1886000.0
2,Bachelors,Analyst,Pune,Retail,363000.0
7,Bachelors,Business Analyst,Mumbai,Healthcare,742000.0
1,Masters,DevOps Engineer,Hyderabad,Healthcare,920000.0
15,Bachelors,Business Analyst,Hyderabad,Retail,634000.0
17,High School,Software Engineer,Pune,Retail,657000.0
18,Bachelors,Analyst,Kolkata,Retail,639000.0
14,Masters,Analyst,Delhi,Finance,1133000.0
2,Masters,Manager,Kolkata,Retail,1019000.0
8,Bachelors,Manager,Mumbai,Education,1152000.0
25,Masters,Software Engineer,Delhi,Manufacturing,1544000.0
16,Bachelors,Software Engineer,Hyderabad,IT,1209000.0
7,Masters,Software Engineer,Pune,IT,1173000.0
3,Bachelors,Business Analyst,Chennai,Finance,700000.0
22,Masters,DevOps Engineer,Delhi,Retail,1336000.0
1,Masters,Software Engineer,Hyderabad,Finance,1069000.0
11,Bachelors,Data Scientist,Hyderabad,Retail,943000.0
7,Bachelors,Business Analyst,Bangalore,Retail,621000.0
6,Masters,Software Engineer,Delhi,Retail,921000.0
1,Bachelors,Analyst,Bangalore,Healthcare,446000.0
20,Masters,Data Scientist,Chennai,Retail,1339000.0
3,Masters,Analyst,Hyderabad,Finance,883000.0
22,Masters,DevOps Engineer,Hyderabad,Retail,1097000.0
14,Bachelors,Analyst,Kolkata,Healthcare,647000.0
16,Bachelors,Business Analyst,Mumbai,Finance,1158000.0
8,High School,Software Engineer,Bangalore,IT,1059000.0
10,Masters,Software Engineer,Pune,Healthcare,1133000.0
11,PhD,DevOps Engineer,Delhi,Education,1222000.0
18,Bachelors,Analyst,Mumbai,IT,960000.0
15,Masters,Business Analyst,Bangalore,Retail,947000.0
21,Masters,Software Engineer,Delhi,IT,1825000.0
8,PhD,Data Scientist,Pune,IT,1812000.0
22,Masters,DevOps Engineer,Delhi,Manufacturing,1536000.0
18,PhD,Data Scientist,Mumbai,Retail,1702000.0
17,Masters,Manager,Pune,Healthcare,2015000.0
16,Masters,Analyst,Kolkata,Education,624000.0
12,High School,Business Analyst,Mumbai,Finance,875000.0
14,Masters,Manager,Chennai,Manufacturing,1674000.0
24,Masters,Software Engineer,Chennai,Finance,1597000.0
2,Masters,DevOps Engineer,Mumbai,Retail,967000.0
12,Bachelors,Analyst,Mumbai,Manufacturing,873000.0
20,Bachelors,Manager,Pune,IT,1778000.0
9,High School,Manager,Chennai,IT,1158000.0
13,Bachelors,Data Scientist,Kolkata,Finance,1253000.0
4,High School,Software Engineer,Chennai,Manufacturing,520000.0
25,Masters,Business Analyst,Mumbai,Education,1073000.0
5,PhD,DevOps Engineer,Mumbai,Manufacturing,1168000.0
19,High School,Manager,Chennai,Manufacturing,1238000.0
20,Masters,DevOps Engineer,Delhi,Healthcare,1466000.0
16,PhD,DevOps Engineer,Chennai,Retail,1188000.0
21,PhD,Software Engineer,Bangalore,Healthcare,1769000.0
9,Bachelors,Data Scientist,Hyderabad,IT,1568000.0
23,Masters,Analyst,Hyderabad,Retail,910000.0
8,Masters,Business Analyst,Delhi,Healthcare,817000.0
8,Bachelors,Analyst,Kolkata,Retail,496000.0
7,PhD,Analyst,Mumbai,Finance,1230000.0
23,Bachelors,DevOps Engineer,Mumbai,Retail,1236000.0
4,Bachelors,Business Analyst,Kolkata,Retail,449000.0
12,Masters,Business Analyst,Hyderabad,Retail,841000.0
7,Masters,Analyst,Chennai,Retail,672000.0
0,Masters,Analyst,Kolkata,IT,547000.0
12,Masters,Software Engineer,Chennai,Finance,1311000.0
3,Masters,DevOps Engineer,Kolkata,Retail,685000.0
6,Bachelors,Manager,Delhi,Manufacturing,1166000.0
12,Bachelors,Data Scientist,Chennai,Manufacturing,1163000.0
7,Bachelors,Manager,Chennai,Healthcare,1046000.0
15,Bachelors,DevOps Engineer,Pune,Finance,1432000.0
14,PhD,Business Analyst,Hyderabad,Education,898000.0
19,Masters,Data Scientist,Kolkata,Healthcare,1478000.0
16,Masters,Software Engineer,Hyderabad,Finance,1444000.0
23,High School,Data Scientist,Hyderabad,Retail,1155000.0
19,Masters,Business Analyst,Mumbai,IT,1368000.0
5,Bachelors,Analyst,Mumbai,Finance,877000.0
2,Bachelors,Business Analyst,Chennai,Healthcare,561000.0
19,Masters,DevOps Engineer,Kolkata,Manufacturing,1211000.0
4,Masters,DevOps Engineer,Mumbai,IT,1356000.0
4,PhD,Software Engineer,Delhi,Education,947000.0
2,High School,Software Engineer,Kolkata,Finance,624000.0
14,Bachelors,Analyst,Kolkata,Manufacturing,613000.0
17,Masters,Analyst,Chennai,Education,665000.0
20,PhD,Data Scientist,Mumbai,Education,1720000.0
13,Masters,DevOps Engineer,Kolkata,Education,991000.0
3,Masters,Software Engineer,Kolkata,Manufacturing,636000.0
23,Bachelors,Business Analyst,Bangalore,Retail,949000.0
17,Masters,Data Scientist,Hyderabad,Manufacturing,1652000.0
0,PhD,Software Engineer,Mumbai,Manufacturing,843000.0
18,Bachelors,Software Engineer,Kolkata,IT,1046000.0
21,Masters,Manager,Bangalore,Finance,2704000.0
7,High School,Manager,Bangalore,Finance,1472000.0
0,Masters,Data Scientist,Hyderabad,Finance,1142000.0
5,Masters,DevOps Engineer,Delhi,Finance,1358000.0
2,Masters,Software Engineer,Hyderabad,IT,989000.0
6,Masters,Software Engineer,Delhi,Education,868000.0
19,Bachelors,Analyst,Pune,Healthcare,850000.0
19,Masters,DevOps Engineer,Delhi,Manufacturing,1669000.0
8,Bachelors,DevOps Engineer,Mumbai,Finance,1247000.0
21,Masters,Manager,Chennai,IT,2187000.0
22,Bachelors,Business Analyst,Chennai,Retail,805000.0
22,High School,Manager,Delhi,Manufacturing,1276000.0
23,PhD,Analyst,Kolkata,Finance,1292000.0
18,Masters,Business Analyst,Hyderabad,IT,1219000.0
20,Masters,Business Analyst,Kolkata,Retail,841000.0
3,Masters,DevOps Engineer,Kolkata,Education,581000.0
20,Bachelors,Manager,Delhi,Finance,2456000.0
3,Bachelors,Data Scientist,Mumbai,Healthcare,989000.0
2,Masters,Business Analyst,Pune,IT,706000.0
2,Masters,Manager,Hyderabad,Finance,1572000.0
12,Bachelors,DevOps Engineer,Kolkata,Retail,753000.0
14,Masters,Software Engineer,Kolkata,Finance,1282000.0
24,PhD,Data Scientist,Mumbai,Retail,1832000.0
4,Bachelors,Manager,Kolkata,Retail,798000.0
9,High School,DevOps Engineer,Delhi,Retail,661000.0
9,Masters,Software Engineer,Bangalore,Retail,1071000.0
0,Bachelors,DevOps Engineer,Kolkata,Education,416000.0
24,Masters,Business Analyst,Kolkata,Retail,912000.0
23,Masters,DevOps Engineer,Kolkata,Healthcare,1405000.0
19,Bachelors,Data Scientist,Bangalore,Retail,1274000.0
20,High School,Software Engineer,Bangalore,Healthcare,902000.0
13,Masters,Manager,Chennai,Finance,2074000.0
24,Masters,Analyst,Delhi,Education,926000.0
5,Bachelors,DevOps Engineer,Chennai,Education,617000.0
22,Bachelors,Business Analyst,Bangalore,Retail,942000.0
5,Masters,DevOps Engineer,Pune,Finance,1215000.0
17,Masters,Software Engineer,Kolkata,Healthcare,1100000.0
7,Masters,Manager,Bangalore,IT,2056000.0
20,Masters,Software Engineer,Delhi,Manufacturing,1218000.0
1,PhD,DevOps Engineer,Pune,IT,1064000.0
8,Bachelors,Data Scientist,Chennai,Manufacturing,1021000.0
13,PhD,Analyst,Hyderabad,Finance,1282000.0
18,Masters,Software Engineer,Hyderabad,Manufacturing,1305000.0
6,High School,Software Engineer,Kolkata,Finance,776000.0
24,Masters,Software Engineer,Mumbai,Education,1212000.0
5,High School,Analyst,Hyderabad,Manufacturing,435000.0
2,Bachelors,Data Scientist,Hyderabad,Education,837000.0
20,Masters,Software Engineer,Kolkata,Retail,1095000.0
11,Bachelors,Analyst,Pune,Manufacturing,565000.0
13,Masters,Analyst,Mumbai,Retail,853000.0
15,Masters,Manager,Pune,IT,2293000.0
3,PhD,Manager,Chennai,Retail,1148000.0
3,Bachelors,Manager,Hyderabad,Healthcare,1093000.0
14,Bachelors,Data Scientist,Kolkata,Manufacturing,953000.0
3,Masters,DevOps Engineer,Mumbai,Education,953000.0
9,Masters,Software Engineer,Delhi,Retail,1083000.0
0,Bachelors,Business Analyst,Delhi,Healthcare,547000.0
12,Masters,DevOps Engineer,Chennai,Manufacturing,1271000.0
14,Masters,Data Scientist,Bangalore,Retail,1468000.0
9,PhD,Software Engineer,Delhi,Healthcare,1215000.0
18,Masters,Data Scientist,Bangalore,Finance,2301000.0
18,Masters,Software Engineer,Pune,Finance,1469000.0
11,Masters,Business Analyst,Bangalore,Manufacturing,948000.0
15,Bachelors,Analyst,Kolkata,Healthcare,636000.0
24,Bachelors,Data Scientist,Mumbai,Retail,1281000.0
17,Bachelors,DevOps Engineer,Chennai,IT,1330000.0
6,Masters,Manager,Chennai,IT,1864000.0
3,Bachelors,Software Engineer,Mumbai,Manufacturing,771000.0
16,Masters,Manager,Chennai,Education,1423000.0
20,Bachelors,Data Scientist,Mumbai,Manufacturing,1493000.0
21,Masters,Manager,Delhi,Manufacturing,1789000.0
16,PhD,DevOps Engineer,Kolkata,Manufacturing,1311000.0
12,Masters,Software Engineer,Pune,Finance,1375000.0
24,Masters,Manager,Bangalore,Education,1866000.0
12,Bachelors,Analyst,Hyderabad,Retail,642000.0
19,PhD,Manager,Bangalore,IT,2675000.0
21,High School,Software Engineer,Chennai,Education,709000.0
5,Bachelors,Business Analyst,Hyderabad,Education,493000.0
1,Bachelors,Data Scientist,Mumbai,IT,1021000.0
8,Bachelors,Analyst,Kolkata,Manufacturing,636000.0
22,Bachelors,DevOps Engineer,Mumbai,Manufacturing,1235000.0
4,Bachelors,Manager,Pune,IT,1313000.0
2,Masters,Data Scientist,Hyderabad,Manufacturing,1003000.0
5,Bachelors,Manager,Hyderabad,IT,1346000.0
13,PhD,Data Scientist,Bangalore,Finance,2115000.0
24,Bachelors,Software Engineer,Kolkata,Manufacturing,925000.0
2,Bachelors,Software Engineer,Chennai,Retail,617000.0
1,High School,Data Scientist,Kolkata,IT,654000.0
11,PhD,Manager,Chennai,Manufacturing,1742000.0
19,Bachelors,Manager,Pune,Manufacturing,1328000.0
18,Masters,Data Scientist,Delhi,IT,2166000.0
1,Bachelors,Data Scientist,Chennai,IT,826000.0
20,Bachelors,DevOps Engineer,Hyderabad,Healthcare,1191000.0
6,Masters,Manager,Bangalore,Education,1185000.0
4,Masters,Manager,Chennai,Education,1121000.0
3,Bachelors,Data Scientist,Pune,Retail,762000.0
2,Bachelors,Manager,Hyderabad,Manufacturing,1091000.0
6,Masters,DevOps Engineer,Chennai,Manufacturing,939000.0
20,High School,Business Analyst,Delhi,Finance,912000.0
23,Bachelors,Software Engineer,Chennai,Retail,979000.0
20,Masters,Business Analyst,Kolkata,IT,1202000.0
2,Bachelors,Analyst,Pune,Retail,397000.0
19,Bachelors,Data Scientist,Mumbai,IT,1811000.0
19,Masters,Data Scientist,Chennai,Finance,1795000.0
0,Masters,Business Analyst,Bangalore,Finance,897000.0
17,High School,Manager,Chennai,Education,1090000.0
21,Masters,Software Engineer,Kolkata,Retail,1092000.0
18,Bachelors,Manager,Bangalore,Retail,1617000.0
18,High School,Software Engineer,Chennai,Education,729000.0
20,Bachelors,DevOps Engineer,Kolkata,Healthcare,991000.0
25,High School,DevOps Engineer,Hyderabad,Finance,1367000.0
5,High School,Manager,Bangalore,IT,1201000.0
24,Bachelors,DevOps Engineer,Pune,Finance,1483000.0
9,Masters,Manager,Mumbai,Finance,2513000.0
15,Masters,Manager,Delhi,Healthcare,2234000.0
9,Bachelors,Data Scientist,Pune,IT,1167000.0
25,Masters,DevOps Engineer,Kolkata,Manufacturing,1070000.0
19,Bachelors,Analyst,Hyderabad,IT,852000.0
22,Masters,Manager,Bangalore,Finance,2931000.0
20,Masters,Business Analyst,Hyderabad,Manufacturing,1142000.0
11,High School,DevOps Engineer,Hyderabad,Healthcare,877000.0
24,PhD,Business Analyst,Chennai,Finance,1563000.0
19,Masters,Analyst,Pune,Education,731000.0
12,Bachelors,Business Analyst,Chennai,IT,756000.0
18,Bachelors,DevOps Engineer,Pune,Education,923000.0
14,Masters,Business Analyst,Pune,Finance,1311000.0
11,Masters,Software Engineer,Kolkata,Healthcare,1003000.0
9,Masters,Software Engineer,Delhi,Retail,1030000.0
1,Bachelors,Business Analyst,Bangalore,Education,545000.0
3,High School,Data Scientist,Delhi,Manufacturing,791000.0
19,Bachelors,Analyst,Pune,Manufacturing,814000.0
23,Bachelors,Data Scientist,Kolkata,Retail,1169000.0
21,Masters,Business Analyst,Hyderabad,Retail,1016000.0
21,Masters,Business Analyst,Delhi,Manufacturing,1098000.0
12,High School,Manager,Chennai,Manufacturing,1026000.0
2,High School,Data Scientist,Pune,Education,642000.0
1,Masters,Analyst,Pune,Education,513000.0
18,Bachelors,DevOps Engineer,Mumbai,Manufacturing,1390000.0
25,Masters,Manager,Mumbai,Retail,2241000.0
3,Bachelors,Software Engineer,Pune,IT,827000.0
14,PhD,Manager,Hyderabad,Retail,1733000.0
0,Bachelors,Manager,Kolkata,Healthcare,865000.0
25,Masters,Software Engineer,Kolkata,Retail,1123000.0
9,Bachelors,Business Analyst,Mumbai,IT,1133000.0
5,Bachelors,Business Analyst,Mumbai,Retail,742000.0
18,Bachelors,DevOps Engineer,Delhi,Healthcare,1168000.0
19,Masters,Data Scientist,Chennai,Education,1039000.0
5,Masters,DevOps Engineer,Pune,Finance,1235000.0
3,Masters,DevOps Engineer,Hyderabad,Education,784000.0
11,Bachelors,Manager,Bangalore,Education,1161000.0
13,Bachelors,DevOps Engineer,Pune,Finance,1163000.0
24,Masters,Manager,Bangalore,Retail,2153000.0
20,Bachelors,Software Engineer,Mumbai,Manufacturing,1417000.0
14,High School,Analyst,Kolkata,Retail,441000.0
13,Masters,Data Scientist,Chennai,Finance,1627000.0
4,Masters,Data Scientist,Chennai,IT,1326000.0
11,Bachelors,Software Engineer,Bangalore,Finance,1253000.0
20,Bachelors,Data Scientist,Bangalore,Manufacturing,1579000.0
1,Bachelors,Analyst,Bangalore,Manufacturing,634000.0
16,Bachelors,DevOps Engineer,Hyderabad,Manufacturing,1064000.0
4,PhD,Software Engineer,Delhi,Finance,1442000.0
1,Masters,Analyst,Chennai,Manufacturing,586000.0
5,Masters,Data Scientist,Mumbai,Healthcare,1309000.0
16,Bachelors,Business Analyst,Kolkata,Finance,987000.0
21,High School,Business Analyst,Pune,Manufacturing,658000.0
19,Masters,Analyst,Chennai,IT,1228000.0
16,High School,Software Engineer,Hyderabad,Healthcare,869000.0
7,Bachelors,Data Scientist,Kolkata,Healthcare,947000.0
24,Bachelors,Analyst,Mumbai,Retail,811000.0
18,Bachelors,Manager,Delhi,Education,1409000.0
20,Bachelors,Software Engineer,Pune,Manufacturing,1149000.0
7,Bachelors,Manager,Kolkata,Manufacturing,1000000.0
2,Bachelors,Analyst,Delhi,Healthcare,603000.0
7,Bachelors,Manager,Bangalore,Retail,1280000.0
4,Bachelors,DevOps Engineer,Hyderabad,Manufacturing,837000.0
18,Masters,Manager,Mumbai,Manufacturing,1948000.0
12,Bachelors,Manager,Hyderabad,Finance,1753000.0
22,Bachelors,Business Analyst,Bangalore,Healthcare,1205000.0
1,Bachelors,DevOps Engineer,Chennai,Healthcare,703000.0
8,Masters,Data Scientist,Hyderabad,Healthcare,1361000.0
8,Bachelors,Data Scientist,Hyderabad,Healthcare,1175000.0
11,Bachelors,Data Scientist,Chennai,Education,869000.0
8,Masters,Data Scientist,Delhi,Healthcare,1350000.0
24,Bachelors,DevOps Engineer,Bangalore,Retail,1236000.0
2,High School,Business Analyst,Delhi,Finance,613000.0
2,Masters,Manager,Pune,Manufacturing,1141000.0
7,High School,Analyst,Kolkata,Finance,555000.0
24,Bachelors,Business Analyst,Mumbai,IT,1405000.0
13,PhD,Software Engineer,Pune,IT,1346000.0
2,High School,Data Scientist,Mumbai,IT,904000.0
13,Bachelors,Manager,Chennai,Manufacturing,1230000.0
2,Bachelors,DevOps Engineer,Mumbai,Education,700000.0
13,PhD,DevOps Engineer,Bangalore,Healthcare,1559000.0
13,PhD,Data Scientist,Mumbai,IT,2389000.0
22,Bachelors,Analyst,Pune,Education,784000.0
13,Bachelors,Business Analyst,Chennai,Education,622000.0
0,Bachelors,Software Engineer,Hyderabad,Healthcare,612000.0
20,Bachelors,Analyst,Hyderabad,Manufacturing,758000.0
7,Masters,Business Analyst,Hyderabad,Manufacturing,830000.0
8,PhD,Business Analyst,Hyderabad,IT,1097000.0
10,PhD,Data Scientist,Chennai,Retail,1104000.0
4,Bachelors,Business Analyst,Mumbai,Education,606000.0
16,High School,Software Engineer,Chennai,Education,675000.0
21,Bachelors,Software Engineer,Mumbai,Finance,1518000.0
20,Masters,Manager,Bangalore,Retail,1828000.0
18,Bachelors,Manager,Kolkata,Education,1097000.0
21,Bachelors,Data Scientist,Mumbai,IT,1511000.0
0,Bachelors,DevOps Engineer,Hyderabad,Manufacturing,610000.0
11,Masters,Analyst,Mumbai,Education,704000.0
9,PhD,Business Analyst,Chennai,IT,1073000.0
15,Bachelors,Software Engineer,Chennai,Retail,991000.0
5,Masters,Software Engineer,Hyderabad,Healthcare,932000.0
6,Masters,Software Engineer,Hyderabad,Finance,1279000.0
10,High School,Software Engineer,Bangalore,Retail,743000.0
20,Bachelors,Software Engineer,Pune,Retail,884000.0
